Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
110	3,314	Ti I	 F91	110	0.68
  150 P	3,315	Pt I	 SRSA92	150	0.73
80	3,316	Ni I	 LBT93	80	0.63
40	3,316	Dy II	 NG00	40	0.53
50	3,316	Er II	 M64b	50	0.57
1000	3,317	Cm I	 WHGC76	1000	1.00
30	3,318	Ti II	 HJLW82	30	0.49
600	3,318	Na II	 W71	600	0.93
250	3,319	Ta I	 MCS75	250	0.80
4	3,319	Yb I	 MT78	4	0.20
300	3,320	Ne II	 P71	300	0.83
50	3,320	Dy II	 NG00	50	0.57
40	3,320	Ni I	 LBT93	40	0.53
500	3,321	Pu I	 BFG84	500	0.90
500	3,321	Pu I	 BFG84	500	0.90
300	3,321	Sm II	 K35	300	0.83
  100 P	3,321	Be I	 KM97	100	0.67
120	3,321	Th II	 PE83	120	0.69
15	3,321	Rb II	 R75	15	0.39
50	3,322	Ti II	 HJLW82	50	0.57
40	3,322	Ni I	 LBT93	40	0.53
11	3,322	Re I	 MCS75	11	0.35
250	3,323	Ti II	 HJLW82	250	0.80
  400 P	3,323	Rh I	 MCS75	400	0.87
70	3,323	Er II	 M64b	70	0.62
 1000 P	3,324	Ne II	 P71	1000	1.00
20	3,324	Mo I	 WB88	20	0.43
  700 P	3,324	Tb II	 B01	700	0.95
90	3,325	Th II	 PE83	90	0.65
200	3,325	Th II	 PE83	200	0.77
12	3,326	Mo I	 WB88	12	0.36
50	3,326	W  I	 MCS75	50	0.57
30	3,327	Ti II	 HJLW82	30	0.49
150	3,327	Ne II	 P71	150	0.73
12	3,327	Mo I	 WB88	12	0.36
500	3,328	Na II	 W71	500	0.90
400	3,328	Y  II	 NJK91	400	0.87
250	3,329	Po I	 C66a	250	0.80
100	3,329	Ne II	 P71	100	0.67
200	3,329	Ti II	 HJLW82	200	0.77
3	3,330	Mg I	 KM91a	3	0.16
400	3,330	Th I	 PE83	400	0.87
15	3,331	Mn II	 IV64	15	0.39
  140 d	3,331	Ta II	 MCS75	140	0.72
150	3,331	Gd II	 MCS75	150	0.73
50	3,332	W  I	 MCS75	50	0.57
300	3,332	Ni II	 S70	300	0.83
50	3,332	Ti II	 HJLW82	50	0.57
90	3,332	Gd II	 MCS75	90	0.65
  300 l	3,333	Pa II	 BW92b	300	0.83
70	3,333	Er II	 M64b	70	0.62
400	3,333	Hf I	 MCS75	400	0.87
20	3,333	Si II	 S61b	20	0.43
   90 P	3,334	Eu I	 ST76	90	0.65
150	3,335	Th II	 PE83	150	0.73
200	3,335	Ne II	 P71	200	0.77
150	3,335	Ti II	 HJLW82	150	0.73
1000	3,335	Bk I	 WC78	1000	1.00
30	3,336	Os I	 MCS75	30	0.49
130	3,336	Gd II	 MCS75	130	0.70
8	3,336	Mn II	 IV64	8	0.30
13	3,337	Yb II	 M67	13	0.37
   40 c	3,337	Ho II	 MCS75	40	0.53
150	3,337	La II	 MCS75	150	0.73
  700 P	3,338	Pu II	 BFG84	700	0.95
150	3,338	Cu I	 S48	150	0.73
150	3,338	Th II	 PE83	150	0.73
40	3,338	Re I	 MCS75	40	0.53
40	3,339	Rh I	 MCS75	40	0.53
   25 c	3,339	Ho II	 MCS75	25	0.47
500	3,339	Pu I	 BFG84	500	0.90
80	3,340	Ru I	 K59	80	0.63
7	3,340	Cr II	 K51	7	0.28
30	3,340	Si II	 S61b	30	0.49
90	3,340	Ti II	 HJLW82	90	0.65
13	3,341	Rb II	 R75	13	0.37
130	3,341	Zr II	 J98	130	0.70
200	3,341	Sm II	 K35	200	0.77
40	3,341	Dy II	 NG00	40	0.53
700	3,342	Ti I	 F91	700	0.95
   80 P	3,342	Nb I	 MCS75	80	0.63
30	3,342	Re I	 MCS75	30	0.49
   15 d	3,343	Yb II	 M67	15	0.39
4	3,343	Yb II	 M67	4	0.20
   60 c	3,344	Ho II	 MCS75	60	0.59
   80 P	3,344	Nb I	 MCS75	80	0.63
   10 l	3,344	Am I	Ft 57	10	0.33
9	3,344	Pt I	 SRSA92	9	0.32
15	3,344	Re I	 MCS75	15	0.39
150	3,344	Ne II	 P71	150	0.73
100	3,345	La II	 MCS75	100	0.67
40	3,345	Mo I	 WB88	40	0.53
  400 P	3,345	Zn I	 GL00	400	0.87
25	3,345	Pt II	 SRSA92	25	0.47
300	3,345	Ne II	 P71	300	0.83
   80 P	3,346	Zn I	 GL00	80	0.63
150	3,346	Ne II	 P71	150	0.73
   15 P	3,346	Zn I	 GL00	15	0.39
70	3,346	Gd II	 MCS75	70	0.62
120	3,346	Er II	 M64b	120	0.69
  300 s	3,347	Pa II	 G67	300	0.83
30	3,347	Ti II	 HJLW82	30	0.49
11	3,347	Mo I	 WB88	11	0.35
1	3,349	Rb I	 RE80	1	0.00
  500 P	3,349	Th I	 PE83	500	0.90
  400 P	3,349	Ti II	 HJLW82	400	0.87
  110 P	3,349	Nb I	 MCS75	110	0.68
 1000 P	3,349	Ti II	 HJLW82	1000	1.00
25	3,350	Nb I	 MCS75	25	0.47
25	3,350	Tm I	 SMC73	25	0.47
  700 P	3,350	Pu II	 BFG84	700	0.95
10	3,350	Eu I	 ST76	10	0.33
  600 P	3,350	Gd II	 MCS75	600	0.93
1	3,351	Rb I	 RE80	1	0.00
8	3,351	Ar II	 N73	8	0.30
  250 P	3,351	Th II	 PE83	250	0.80
   60 P	3,352	Sn II	 B64	60	0.59
40	3,352	Hf II	 MCS75	40	0.53
6	3,352	Yb II	 M67	6	0.26
 1000 P	3,353	Cf I	 RCWM80	1000	1.00
  400 P	3,354	Sc II	 JL80	400	0.87
70	3,354	Th II	 PE83	70	0.62
1	3,355	He I	 M60a	1	0.00
500	3,355	Ti I	 F91	500	0.90
20	3,355	Nb I	 MCS75	20	0.43
200	3,355	Ne II	 P71	200	0.77
40	3,355	Fe I	 NJLT94	40	0.53
130	3,356	Zr II	 J98	130	0.70
90	3,357	Zr II	 J98	90	0.65
120	3,358	Ne II	 P71	120	0.69
120	3,358	U  I	 SPMR72	120	0.69
60	3,358	Mo I	 WB88	60	0.59
40	3,358	Ti I	 F91	40	0.53
  110 P	3,358	Nb I	 MCS75	110	0.68
9	3,358	Cr II	 K51	9	0.32
150	3,359	Th II	 PE83	150	0.73
  500 P	3,359	Gd II	 MCS75	500	0.90
100	3,359	Ni II	 S70	100	0.67
100	3,359	Hf I	 MCS75	100	0.67
 1000 P	3,360	Lu I	 MCS75	1000	1.00
70	3,360	Sc II	 JL80	70	0.62
200	3,361	Ne II	 P71	200	0.77
90	3,361	Gd II	 MCS75	90	0.65
30	3,361	Rh I	 MCS75	30	0.49
40	3,361	Ti I	 F91	40	0.53
  600 P	3,361	Ti II	 HJLW82	600	0.93
60	3,361	Sc II	 JL80	60	0.59
40	3,361	Ti I	 F91	40	0.53
40	3,362	Ni I	 LBT93	40	0.53
60	3,362	Sc II	 JL80	60	0.59
120	3,362	Ne II	 P71	120	0.69
  600 P	3,362	Gd II	 MCS75	600	0.93
6	3,362	Yb II	 M67	6	0.26
  100 s	3,363	Am II	Ft 57	100	0.67
  400 P	3,363	Tm II	 MCS75	400	0.87
100	3,363	Ne II	 P71	100	0.67
30	3,364	Mo I	 WB88	30	0.49
130	3,364	Er II	 M64b	130	0.70
40	3,366	Ni I	 LBT93	40	0.53
300	3,366	Sm II	 K35	300	0.83
40	3,366	Ni I	 LBT93	40	0.53
   70 h	3,367	Xe II	 H39	70	0.62
20	3,367	Nb I	 MCS75	20	0.43
120	3,367	Ne II	 P71	120	0.69
 1000 l	3,368	Cf II	 RCWM80	1000	1.00
90	3,368	Th II	 PE83	90	0.65
  130 d	3,368	Er II	 M64b	130	0.70
25	3,368	Cr II	 K51	25	0.47
40	3,368	Rh I	 MCS75	40	0.53
30	3,368	Ru I	 K59	30	0.49
30	3,368	Ir I	 MCS75	30	0.49
140	3,369	Sc II	 JL80	140	0.72
500	3,369	Tl II	 ES36	500	0.90
400	3,370	Ni I	 LBT93	400	0.87
50	3,370	Ne I	 SS04	50	0.57
