Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
60	3,758	W  I	 MCS75	60	0.59
200	3,758	Gd I	 MCS75	200	0.77
  300 P	3,758	Fe I	 NJLT94	300	0.83
150	3,758	Gd II	 MCS75	150	0.73
  500 P	3,758	Pu I	 BFG84	500	0.90
150	3,758	U  I	 SPMR72	150	0.73
100	3,759	Tc I	 BMC67	100	0.67
150	3,759	Nd II	 MCS75	150	0.73
90	3,759	Gd II	 MCS75	90	0.65
  250 P	3,759	La II	 MCS75	250	0.80
  300 P	3,759	Ti II	 HJLW82	300	0.83
110	3,760	Ru I	 K59	110	0.68
30	3,760	Ru I	 K59	30	0.49
40	3,760	Fe I	 NJLT94	40	0.53
80	3,760	W  I	 MCS75	80	0.63
110	3,760	Rh I	 MCS75	110	0.68
500	3,761	Sm II	 K35	500	0.90
70	3,761	Gd II	 MCS75	70	0.62
4	3,761	Eu II	 MCS75	4	0.20
30	3,761	Pt II	 SRSA92	30	0.49
  250 P	3,761	Ti II	 HJLW82	250	0.80
  700 P	3,761	Tm II	 MCS75	700	0.95
50	3,762	Ru I	 K59	50	0.57
200	3,762	Tc I	 BMC67	200	0.77
130	3,762	Pr II	 MCS75	130	0.70
  500 P	3,762	Tm II	 MCS75	500	0.90
200	3,762	Gd I	 MCS75	200	0.77
1000	3,763	Cm I	 WHGC76	1000	1.00
100	3,763	U  I	 SPMR72	100	0.67
150	3,763	Nd II	 MCS75	150	0.73
30	3,763	Nb I	 MCS75	30	0.49
150	3,764	Fe I	 NJLT94	150	0.73
200	3,764	Ce II	 C73	200	0.77
250	3,764	Sm II	 K35	250	0.80
140	3,764	Zr I	 J98	140	0.72
250	3,765	Rh I	 MCS75	250	0.80
20	3,765	Nb I	 MCS75	20	0.43
  300 P	3,765	Tb II	 B01	300	0.83
200	3,765	Th I	 PE83	200	0.77
50	3,765	Ar II	 N73	50	0.57
40	3,766	Fe I	 NJLT94	40	0.53
15	3,766	Ar II	 N73	15	0.39
  800 P	3,766	Ne II	 P71	800	0.97
140	3,767	Zr I	 J98	140	0.72
130	3,767	U  I	 SPMR72	130	0.70
100	3,767	Gd II	 MCS75	100	0.67
60	3,767	Fe I	 NJLT94	60	0.59
50	3,767	Ru I	 K59	50	0.57
40	3,768	Dy I	 NG00	40	0.53
13	3,768	Cr I	 K53	13	0.37
 1000 P	3,768	Gd II	 MCS75	1000	1.00
120	3,768	W  I	 MCS75	120	0.69
500	3,769	Tc I	 BMC67	500	0.90
40	3,769	Ho I	 MCS75	40	0.53
70	3,769	Gd II	 MCS75	70	0.62
90	3,770	Nd II	 MCS75	90	0.65
50	3,770	Rh I	 MCS75	50	0.57
300	3,770	Th I	 PE83	300	0.83
30	3,770	Yb I	 MT78	30	0.49
1	3,770	Ar I	 N73	1	0.00
12	3,770	Mo I	 WB88	12	0.36
7	3,771	Ar II	 N73	7	0.28
150	3,771	Gd II	 MCS75	150	0.73
300	3,771	Tc I	 BMC67	300	0.83
 1000 s	3,771	Bk II	 WC78	1000	1.00
20	3,771	Dy I	 NG00	20	0.43
80	3,772	Ti I	 F91	80	0.63
30	3,772	Nb I	 MCS75	30	0.49
40	3,773	Dy I	 NG00	40	0.53
  250* d	3,773	Sm I	 K35	#N/A	#N/A
  250* d	3,773	Sm II	 K35	#N/A	#N/A
150	3,773	U  I	 SPMR72	150	0.73
4	3,774	Yb I	 MT78	4	0.20
  800 P	3,774	Y  II	 NJK91	800	0.97
  500 P	3,774	Pu I	 BFG84	500	0.90
25	3,775	Dy I	 NG00	25	0.47
250	3,776	Nd II	 MCS75	250	0.80
70	3,776	Ni I	 LBT93	70	0.62
  600 P,c,w	3,776	Tl I	 MCS75	600	0.93
1000	3,776	Cm I	 WHGC76	1000	1.00
140	3,776	Th I	 PE83	140	0.72
  400 P	3,776	Tb II	 B01	400	0.87
110	3,777	Y  II	 NJK91	110	0.68
 1000 P	3,777	Ne II	 P71	1000	1.00
 1000 P,l	3,778	Am II	Ft 57	1000	1.00
140	3,778	Ru I	 K59	140	0.72
600	3,778	Hf I	 MCS75	600	0.93
150	3,778	Kr II	 HP70a	150	0.73
40	3,778	Rh I	 MCS75	40	0.53
250	3,778	Sm II	 K35	250	0.80
20	3,779	V  I	 DA78	20	0.43
200	3,779	Tc I	 BMC67	200	0.77
130	3,779	Nd II	 MCS75	130	0.70
110	3,780	Nd II	 MCS75	110	0.68
200	3,781	Zr I	 J98	200	0.77
  300 c	3,781	Tc I	 BMC67	300	0.83
120	3,781	W  I	 MCS75	120	0.69
8	3,781	Ar II	 N73	8	0.30
50	3,781	Nb I	 MCS75	50	0.57
40	3,781	Ru I	 K59	40	0.53
90	3,781	Nd II	 MCS75	90	0.65
25	3,781	Dy I	 NG00	25	0.47
12	3,782	Mo I	 WB88	12	0.36
200	3,782	Ce II	 C73	200	0.77
   70 P	3,782	Os I	 MCS75	70	0.62
110	3,782	Gd II	 MCS75	110	0.68
50	3,783	Ru I	 K59	50	0.57
  400 P	3,783	U  II	 SPMR72	400	0.87
  600 P	3,783	Gd I	 MCS75	600	0.93
150	3,783	Kr II	 HP70a	150	0.73
90	3,784	Ni I	 LBT93	90	0.65
  400 P	3,784	Nd II	 MCS75	400	0.87
   11 w	3,785	Cs II	 S81	11	0.35
600	3,785	Hf I	 MCS75	600	0.93
80	3,786	Th II	 PE83	80	0.63
1000	3,786	Cf I	 RCWM80	1000	1.00
110	3,786	Ti I	 F91	110	0.68
400	3,786	Ru I	 K59	400	0.87
150	3,786	Dy II	 NG00	150	0.73
250	3,787	Ce II	 C73	250	0.80
150	3,787	Er II	 M64b	150	0.73
110	3,787	Nb I	 MCS75	110	0.68
13	3,788	Re I	 MCS75	13	0.37
130	3,788	Gd II	 MCS75	130	0.70
50	3,788	Er II	 M64b	50	0.57
400	3,788	Sm II	 K35	400	0.87
1000	3,788	Bk I	 WC78	1000	1.00
70	3,788	Dy II	 NG00	70	0.62
110	3,788	Rh I	 MCS75	110	0.68
600	3,789	Y  II	 NJK91	600	0.93
 1000 l	3,789	Cf II	 RCWM80	1000	1.00
150	3,789	Th I	 PE83	150	0.73
20	3,790	Os I	 MCS75	20	0.43
80	3,790	Nb I	 MCS75	80	0.63
10	3,790	Mn I	 CMG64	10	0.33
40	3,790	V  I	 DA78	40	0.53
500	3,791	Ru I	 K59	500	0.90
  400 P	3,791	La II	 MCS75	400	0.87
90	3,791	Gd II	 MCS75	90	0.65
200	3,791	Nb I	 MCS75	200	0.77
6	3,791	Cr I	 K53	6	0.26
150	3,791	Zr I	 J98	150	0.73
1000	3,791	Bk I	 WC78	1000	1.00
50	3,792	Er II	 M64b	50	0.57
30	3,792	Dy II	 NG00	30	0.49
6	3,792	Cr I	 K53	6	0.26
140	3,792	Rh I	 MCS75	140	0.72
500	3,792	Pu I	 BFG84	500	0.90
  700 P	3,793	Bi II	 DLW02	700	0.95
40	3,793	Er I	 M64b	40	0.53
 1000 l	3,793	Es	 WLGC74	1000	1.00
120	3,793	U  II	 SPMR72	120	0.69
400	3,793	Rh I	 MCS75	400	0.87
120	3,793	U  I	 SPMR72	120	0.69
80	3,793	Hf II	 MCS75	80	0.63
6	3,794	Cr I	 K53	6	0.26
400	3,794	Sm II	 K35	400	0.87
  400 P	3,795	La II	 MCS75	400	0.87
90	3,795	V  I	 DA78	90	0.65
40	3,795	Fe I	 NJLT94	40	0.53
140	3,795	Th I	 PE83	140	0.72
400	3,796	Pm II	 RCWM80	400	0.87
  800 P	3,796	Tm II	 MCS75	800	0.97
9	3,796	Au I	 ED71	9	0.32
1000	3,796	Bk I	 WC78	1000	1.00
  600 P	3,796	Gd II	 MCS75	600	0.93
  600 P,c	3,797	Ho II	 MZH78	600	0.93
40	3,797	Rb II	 R75	40	0.53
50	3,797	Er II	 M64b	50	0.57
7	3,797	Cr I	 K53	7	0.28
10	3,798	Cr I	 K53	10	0.33
400	3,798	Sm II	 K35	400	0.87
100	3,798	Tc I	 BMC67	100	0.67
70	3,798	Ru I	 K59	70	0.62
150	3,798	Nb I	 MCS75	150	0.73
 1000 P	3,798	Mo I	 WB88	1000	1.00
80	3,799	Tm I	 SMC73	80	0.63
1000	3,799	Bk I	 WC78	1000	1.00
  700 P	3,799	Ru I	 K59	700	0.95
   13 c	3,799	In II	 PC38	13	0.37
500	3,799	Rh I	 MCS75	500	0.90
  700 P	3,799	Ru I	 K59	700	0.95
500	3,799	Pu I	 BFG84	500	0.90
40	3,800	Fe I	 NJLT94	40	0.53
70	3,800	Ac II	 MFT57	70	0.62
50	3,800	V  I	 DA78	50	0.57
200	3,800	Ir I	 MCS75	200	0.77
130	3,800	Pr II	 MCS75	130	0.70
  400 d	3,800	Hf I	 MCS75	400	0.87
200	3,801	Sm II	 K35	200	0.77
  200 P	3,801	Sn I	 B64	200	0.77
   13 d	3,801	Pt I	 SRSA92	13	0.37
80	3,801	Gd II	 MCS75	80	0.63
15	3,801	Nb I	 MCS75	15	0.39
 1000 P,l	3,801	Es I	 WLGC74	1000	1.00
  700 P	3,802	Ce II	 C73	700	0.95
10	3,802	Mo I	 WB88	10	0.33
30	3,802	Rb II	 R75	30	0.49
 1000 s	3,802	Bk I	 WC78	1000	1.00
1000	3,802	Bk I	 WC78	1000	1.00
150	3,803	Nb I	 MCS75	150	0.73
 1000 P	3,803	Th I	 PE83	1000	1.00
250	3,803	Ce II	 C73	250	0.80
8	3,803	Ar II	 N73	8	0.30
200	3,803	Nd II	 MCS75	200	0.77
50	3,803	V  I	 DA78	50	0.57
40	3,804	Nb I	 MCS75	40	0.53
30	3,805	Nb I	 MCS75	30	0.49
25	3,805	Cr I	 K53	25	0.47
60	3,805	Pr II	 MCS75	60	0.59
25	3,805	Cs II	 S81	25	0.47
  500 P	3,805	Nd II	 MCS75	500	0.90
80	3,806	Rh I	 MCS75	80	0.63
500	3,806	Pu I	 BFG84	500	0.90
25	3,806	Dy II	 NG00	25	0.47
  120 P	3,807	Mn I	 CMG64	120	0.69
140	3,807	Rh I	 MCS75	140	0.72
90	3,807	Ni I	 LBT93	90	0.65
25	3,808	V  I	 DA78	25	0.47
60	3,808	Tm I	 SMC73	60	0.59
300	3,808	Ce II	 C73	300	0.83
40	3,809	V  I	 DA78	40	0.53
100	3,809	Nd II	 MCS75	100	0.67
120	3,809	U  I	 SPMR72	120	0.69
15	3,809	Ar II	 N73	15	0.39
25	3,810	Mn I	 CMG64	25	0.47
20	3,810	V  I	 DA78	20	0.43
110	3,810	Er I	 M64b	110	0.68
110	3,810	Nd II	 MCS75	110	0.68
40	3,810	Nb I	 MCS75	40	0.53
  600 P,c	3,811	Ho II	 MZH78	600	0.93
20	3,811	Ag I	 PZ01	20	0.43
30	3,811	Nb I	 MCS75	30	0.49
11	3,811	Eu I	 MCS75	11	0.35
500	3,811	Pu I	 BFG84	500	0.90
150	3,812	Hf I	 MCS75	150	0.73
80	3,812	Pr II	 MCS75	80	0.63
60	3,812	Ho I	 MCS75	60	0.59
  600 P	3,812	U  I	 SPMR72	600	0.93
30	3,812	Dy I	 NG00	30	0.49
50	3,813	Ru I	 K59	50	0.57
60	3,813	Fe I	 NJLT94	60	0.59
80	3,813	Th II	 PE83	80	0.63
   60 c	3,813	Ho II	 MCS75	60	0.59
15	3,813	Be I	 KM97	15	0.39
80	3,813	V  I	 DA78	80	0.63
400	3,814	Gd II	 MCS75	400	0.87
 1000 P	3,814	Ra II	 R34a	1000	1.00
130	3,815	Nd II	 MCS75	130	0.70
50	3,815	Rh I	 MCS75	50	0.57
9	3,815	Cr I	 K53	9	0.32
30	3,816	Nb I	 MCS75	30	0.49
150	3,816	Fe I	 NJLT94	150	0.73
  250 h	3,816	Pr II	 MCS75	250	0.80
 1000 P	3,816	Cm I	 WHGC76	1000	1.00
80	3,816	Rh I	 MCS75	80	0.63
200	3,817	K  II	 D26	200	0.77
90	3,817	Gd II	 MCS75	90	0.65
60	3,817	Dy II	 NG00	60	0.59
70	3,817	Ru I	 K59	70	0.62
60	3,817	Tm II	 MCS75	60	0.59
150	3,817	W  I	 MCS75	150	0.73
250	3,818	K  II	 D26	250	0.80
140	3,818	Rh I	 MCS75	140	0.72
110	3,818	V  I	 DA78	110	0.68
130	3,818	Pr II	 MCS75	130	0.70
100	3,818	Y  II	 NJK91	100	0.67
100	3,818	Ne II	 P71	100	0.67
250	3,819	Pt I	 SRSA92	250	0.80
70	3,819	Ru I	 K59	70	0.62
9	3,820	Cr I	 K53	9	0.32
10	3,820	He I	 M60a	10	0.33
  600 P,c,w	3,820	Eu II	 MCS75	600	0.93
1	3,820	He I	 M60a	1	0.00
20	3,820	V  I	 DA78	20	0.43
  500 P	3,820	Fe I	 NJLT94	500	0.90
300	3,821	Pm II	 RCWM80	300	0.83
600	3,821	Hf I	 MCS75	600	0.93
20	3,821	V  I	 DA78	20	0.43
60	3,822	Pr II	 MCS75	60	0.59
50	3,822	V  I	 DA78	50	0.57
60	3,822	Ru I	 K59	60	0.59
400	3,822	Rh I	 MCS75	400	0.87
150	3,822	Zr I	 J98	150	0.73
40	3,823	V  I	 DA78	40	0.53
 1000 s	3,823	Bk II	 WC78	1000	1.00
25	3,823	V  I	 DA78	25	0.47
80	3,824	Mn I	 CMG64	80	0.63
14	3,824	Mn I	 CMG64	14	0.38
 1000 s	3,824	Bk II	 WC78	1000	1.00
250	3,824	Fe I	 NJLT94	250	0.80
40	3,825	Nb I	 MCS75	40	0.53
50	3,825	Ru I	 K59	50	0.57
130	3,825	Th I	 PE83	130	0.70
1000	3,825	Cm I	 WHGC76	1000	1.00
1000	3,825	Bk I	 WC78	1000	1.00
30	3,826	Dy II	 NG00	30	0.49
 1000 s	3,826	Bk II	 WC78	1000	1.00
150	3,826	Fe I	 NJLT94	150	0.73
400	3,826	Sm II	 K35	400	0.87
30	3,826	Tm I	 SMC73	30	0.49
200	3,826	Nd II	 MCS75	200	0.77
6	3,826	Cr I	 K53	6	0.26
150	3,827	U  II	 SPMR72	150	0.73
11	3,827	Rb II	 R75	11	0.35
20	3,827	Mo I	 WB88	20	0.43
120	3,828	Fe I	 NJLT94	120	0.69
  800 P	3,828	Th I	 PE83	800	0.97
250	3,828	Rh I	 MCS75	250	0.80
140	3,829	V  I	 DA78	140	0.72
100	3,829	Nd II	 MCS75	100	0.67
30	3,829	Mo I	 WB88	30	0.49
40	3,829	Ho I	 MCS75	40	0.53
   25 P	3,829	Mg I	 KM91a	25	0.47
120	3,830	Ne II	 P71	120	0.69
130	3,830	Hf I	 MCS75	130	0.70
  500 P	3,830	Tb I	 B01	500	0.90
90	3,830	Nd II	 MCS75	90	0.65
  300 P	3,830	Er II	 M64b	300	0.83
200	3,831	Pr II	 MCS75	200	0.77
  400 P	3,831	U  II	 SPMR72	400	0.87
250	3,832	Sm II	 K35	250	0.80
 1000 l	3,832	Bk II	 WC78	1000	1.00
70	3,832	Ru I	 K59	70	0.62
   50 P	3,832	Mg I	 KM91a	50	0.57
60	3,833	Tc I	 BMC67	60	0.59
  300 P	3,833	Y  II	 NJK91	300	0.83
1000	3,833	Cm I	 WHGC76	1000	1.00
25	3,833	Cl II	 RK74	25	0.47
 1000 s	3,833	Bk I	 WC78	1000	1.00
90	3,834	Ta II	 MCS75	90	0.65
60	3,834	Mo I	 WB88	60	0.59
20	3,834	Mn I	 CMG64	20	0.43
200	3,834	Rh I	 MCS75	200	0.77
25	3,834	V  I	 DA78	25	0.47
100	3,834	Fe I	 NJLT94	100	0.67
50	3,834	Mn I	 CMG64	50	0.57
400	3,834	Sm I	 K35	400	0.87
   14 c	3,835	In II	 PC38	14	0.38
130	3,835	W  I	 MCS75	130	0.70
20	3,835	Nb I	 MCS75	20	0.43
   25 c	3,835	Ho II	 MCS75	25	0.47
5	3,835	H  I	 RCWM80	5	0.23
500	3,836	Pu I	 BFG84	500	0.90
  600 P	3,836	Zr I	 J98	600	0.93
 1000 s	3,836	Bk II	 WC78	1000	1.00
100	3,837	Dy II	 NG00	100	0.67
140	3,837	Nd II	 MCS75	140	0.72
120	3,837	Th I	 PE83	120	0.69
  250 P	3,837	Zr II	 J98	250	0.80
110	3,837	Gd II	 MCS75	110	0.68
   80 c,w	3,838	Ho II	 MCS75	80	0.63
150	3,838	Tc I	 BMC67	150	0.73
1000	3,838	Cm I	 WHGC76	1000	1.00
150	3,838	Tm II	 MCS75	150	0.73
   80 P	3,838	Mg I	 KM91a	80	0.63
300	3,839	Ce II	 C73	300	0.83
300	3,839	Nd II	 MCS75	300	0.83
  400 P	3,840	U  I	 SPMR72	400	0.87
110	3,840	Gd II	 MCS75	110	0.68
80	3,840	Ru I	 K59	80	0.63
200	3,840	Th II	 PE83	200	0.77
13	3,840	Mn I	 CMG64	13	0.37
9	3,840	Yb I	 MT78	9	0.32
50	3,840	V  I	 DA78	50	0.57
50	3,840	Fe I	 NJLT94	50	0.57
    9 h	3,841	Ag I	 PZ01	9	0.32
200	3,841	V  I	 DA78	200	0.77
30	3,841	Tm I	 SMC73	30	0.49
25	3,841	Dy I	 NG00	25	0.47
90	3,841	Pr II	 MCS75	90	0.65
80	3,841	Fe I	 NJLT94	80	0.63
25	3,841	Mn I	 CMG64	25	0.47
  400 P	3,841	Lu I	 MCS75	400	0.87
20	3,841	Cr I	 K53	20	0.43
60	3,841	Dy II	 NG00	60	0.59
80	3,841	Tc I	 BMC67	80	0.63
70	3,842	Th II	 PE83	70	0.62
1000	3,842	Cm I	 WHGC76	1000	1.00
   25 c	3,842	Ho II	 MCS75	25	0.47
   11 c	3,842	In II	 PC38	11	0.35
1000	3,842	Bk I	 WC78	1000	1.00
140	3,842	Gd II	 MCS75	140	0.72
  150 d	3,842	Tb II	 B01	150	0.73
300	3,843	Pm II	 RCWM80	300	0.83
100	3,843	Zr II	 J98	100	0.67
300	3,843	Gd I	 MCS75	300	0.83
400	3,844	Sm II	 K35	400	0.87
70	3,844	Ho II	 MCS75	70	0.62
13	3,844	Mn I	 CMG64	13	0.37
20	3,844	Dy I	 NG00	20	0.43
30	3,844	V  I	 DA78	30	0.49
150	3,845	Gd II	 MCS75	150	0.73
15	3,845	Cl II	 RK74	15	0.39
300	3,845	Co I	 PT96	300	0.83
20	3,846	Cl II	 RK74	20	0.43
80	3,846	Tc I	 BMC67	80	0.63
80	3,846	W  I	 MCS75	80	0.63
110	3,847	Pr II	 MCS75	110	0.68
 1000 l	3,847	Bk I	 WC78	1000	1.00
40	3,847	Ru I	 K59	40	0.53
   30 c	3,847	Ho II	 MCS75	30	0.49
150	3,847	Th I	 PE83	150	0.73
150	3,847	Zr I	 J98	150	0.73
25	3,847	Dy I	 NG00	25	0.47
  250 P	3,847	F  II	 P69	250	0.80
13	3,847	Mo I	 WB88	13	0.37
25	3,847	V  I	 DA78	25	0.47
1000	3,848	Bk I	 WC78	1000	1.00
 1000 P	3,848	Tm II	 MCS75	1000	1.00
  300* d	3,848	Nd II	 MCS75	#N/A	#N/A
  300* d	3,848	Nd II	 MCS75	#N/A	#N/A
300	3,849	Nd II	 MCS75	300	0.83
250	3,849	Ce II	 C73	250	0.80
  600 P	3,849	Tb II	 B01	600	0.93
10	3,849	Cr I	 K53	10	0.33
200	3,849	La II	 MCS75	200	0.77
400	3,849	Hf I	 MCS75	400	0.87
150	3,849	Zr I	 J98	150	0.73
7	3,849	Cr I	 K53	7	0.28
30	3,850	Ho I	 MCS75	30	0.49
40	3,850	Er I	 M64b	40	0.53
1000	3,850	Cm I	 WHGC76	1000	1.00
  250 P	3,850	F  II	 P69	250	0.80
14	3,850	Cr I	 K53	14	0.38
70	3,850	Ru I	 K59	70	0.62
25	3,851	Ar II	 N73	25	0.47
400	3,851	Gd II	 MCS75	400	0.87
250	3,851	Pr II	 MCS75	250	0.80
  600 P	3,851	Gd II	 MCS75	600	0.93
   60 P	3,851	Cl II	 RK74	60	0.59
  500 P	3,851	Pu I	 BFG84	500	0.90
   40 P	3,851	Cl II	 RK74	40	0.53
  140 c	3,852	Pr II	 MCS75	140	0.72
  400* P,d	3,852	Nd II	 MCS75	#N/A	#N/A
  250 P	3,852	F  II	 P69	250	0.80
  400* P,d	3,852	Nd II	 MCS75	#N/A	#N/A
400	3,852	Pu I	 BFG84	400	0.87
140	3,852	Th I	 PE83	140	0.72
7	3,852	Cr I	 K53	7	0.28
  500 P	3,852	Gd II	 MCS75	500	0.90
200	3,853	Pr II	 MCS75	200	0.77
50	3,853	Dy II	 NG00	50	0.57
250	3,853	Ce II	 C73	250	0.80
300	3,853	Sm I	 K35	300	0.83
  110 c	3,854	Ho II	 MCS75	110	0.68
1000	3,854	Cm I	 WHGC76	1000	1.00
300	3,854	Ce II	 C73	300	0.83
600	3,854	Sm II	 K35	600	0.93
200	3,854	U  I	 PKE80	200	0.77
10	3,854	Cr I	 K53	10	0.33
300	3,854	Ce II	 C73	300	0.83
90	3,855	Th II	 PE83	90	0.65
300	3,855	Sm I	 K35	300	0.83
  500 P	3,855	U  II	 PKE80	500	0.90
1000	3,855	Bk I	 WC78	1000	1.00
200	3,855	Ce II	 C73	200	0.77
100	3,855	V  I	 DA78	100	0.67
7	3,856	Cr I	 K53	7	0.28
  250 P	3,856	V  I	 DA78	250	0.80
50	3,856	Er I	 M64b	50	0.57
200	3,856	Sm II	 K35	200	0.77
  100 P,h	3,856	Si II	 S61b	100	0.67
250	3,856	Fe I	 NJLT94	250	0.80
40	3,856	Ru I	 K59	40	0.53
600	3,857	Rh I	 MCS75	600	0.93
   25 c,w	3,857	Ho II	 MCS75	25	0.47
120	3,858	Ru I	 K59	120	0.69
13	3,858	Cr I	 K53	13	0.37
40	3,858	Ho II	 MCS75	40	0.53
150	3,858	Ni I	 LBT93	150	0.73
250	3,858	Hf I	 MCS75	250	0.80
50	3,858	Er II	 M64b	50	0.57
25	3,858	Dy I	 NG00	25	0.47
250	3,859	Sm I	 K35	250	0.80
20	3,859	Nb I	 MCS75	20	0.43
 1000 P	3,860	U  II	 PKE80	1000	1.00
 1000 l	3,860	Bk II	 WC78	1000	1.00
  500 P	3,860	Fe I	 NJLT94	500	0.90
  140 P	3,861	Cl II	 RK74	140	0.72
100	3,861	Hf I	 MCS75	100	0.67
25	3,861	Cl II	 RK74	25	0.47
  150 c	3,862	Ho II	 MCS75	150	0.73
   40 h	3,863	Si II	 S61b	40	0.53
60	3,863	Ho I	 MCS75	60	0.59
60	3,863	Ru I	 K59	60	0.59
  500 P	3,863	Er I	 M64b	500	0.90
  700 P,s	3,863	Ac II	 MFT57	700	0.95
  700* P,d	3,863	Nd II	 MCS75	#N/A	#N/A
20	3,863	Nb I	 MCS75	20	0.43
  700* P,d	3,863	Nd II	 MCS75	#N/A	#N/A
110	3,863	Th II	 PE83	110	0.68
  800 P	3,864	Zr I	 J98	800	0.97
300	3,864	Bi II	 DLW02	300	0.83
 1000 P	3,864	Mo I	 WB88	1000	1.00
200	3,864	Zr I	 J98	200	0.77
110	3,865	V  I	 DA78	110	0.68
   90 c	3,865	Pr II	 MCS75	90	0.65
15	3,866	Eu I	 MCS75	15	0.39
  400 P	3,866	U  II	 PKE80	400	0.87
30	3,866	Ti I	 F91	30	0.49
300	3,867	Gd I	 MCS75	300	0.83
20	3,868	V  I	 DA78	20	0.43
120	3,868	Ru I	 K59	120	0.69
15	3,868	Nb I	 MCS75	15	0.39
200	3,868	W  I	 MCS75	200	0.77
100	3,868	Tc I	 BMC67	100	0.67
15	3,868	Pt I	 SRSA92	15	0.39
12	3,869	Ar II	 N73	12	0.36
100	3,869	Dy I	 NG00	100	0.67
150	3,869	Nd II	 MCS75	150	0.73
20	3,869	Mo I	 WB88	20	0.43
150	3,870	Th I	 PE83	150	0.73
40	3,870	Dy II	 NG00	40	0.53
50	3,870	Rh I	 MCS75	50	0.57
  500 P	3,871	U  I	 PKE80	500	0.90
  400 P	3,872	La II	 MCS75	400	0.87
200	3,872	Sm II	 K35	200	0.77
  300 P	3,872	Dy II	 NG00	300	0.83
20	3,873	Yb I	 MT78	20	0.43
250	3,873	Co I	 PT96	250	0.80
300	3,873	Pa I	 BW92b	300	0.83
130	3,874	Co I	 PT96	130	0.70
50	3,874	Dy II	 NG00	50	0.57
130	3,874	U  II	 PKE80	130	0.70
  600 P,w	3,874	Tb II	 B01	600	0.93
40	3,875	Ho II	 MCS75	40	0.53
120	3,875	V  I	 DA78	120	0.69
30	3,875	Ti I	 F91	30	0.49
400	3,875	Th I	 PE83	400	0.87
   50 h	3,875	Kr II	 DHM33	50	0.57
15	3,876	Pt I	 SRSA92	15	0.39
40	3,876	V  I	 DA78	40	0.53
50	3,876	V  I	 DA78	50	0.57
   30 c	3,876	Cs I	 S81	30	0.49
90	3,876	Pr II	 MCS75	90	0.65
25	3,877	Os I	 MCS75	25	0.47
200	3,877	Ce II	 C73	200	0.77
  300 c	3,877	Pr II	 MCS75	300	0.83
40	3,877	Rh I	 MCS75	40	0.53
30	3,878	Nb I	 MCS75	30	0.49
300	3,878	Zr I	 J98	300	0.83
800	3,878	Pm II	 RCWM80	800	0.97
 1000 l	3,878	Bk II	 WC78	1000	1.00
130	3,878	U  II	 PKE80	130	0.70
300	3,878	Ce II	 C73	300	0.83
  500 P	3,879	Pu I	 BFG84	500	0.90
150	3,879	Fe I	 NJLT94	150	0.73
200	3,879	Nd II	 MCS75	200	0.77
50	3,879	Nb I	 MCS75	50	0.57
60	3,879	Zr I	 J98	60	0.59
200	3,880	Nd II	 MCS75	200	0.77
250	3,880	Th I	 PE83	250	0.80
1000	3,880	Bk I	 WC78	1000	1.00
140	3,880	Nd II	 MCS75	140	0.72
130	3,880	Pr II	 MCS75	130	0.70
140	3,881	Er II	 M64b	140	0.72
   60 c	3,881	Tc I	 BMC67	60	0.59
200	3,881	Sm II	 K35	200	0.77
200	3,881	Nd II	 MCS75	200	0.77
40	3,881	Hf II	 MCS75	40	0.53
80	3,881	W  I	 MCS75	80	0.63
200	3,881	U  II	 PKE80	200	0.77
30	3,882	Ho II	 MCS75	30	0.49
400	3,882	Ce II	 C73	400	0.87
 1000 l	3,883	Bk I	 WC78	1000	1.00
110	3,883	Er II	 M64b	110	0.68
60	3,883	Ti I	 F91	60	0.59
  700 P	3,883	Tm I	 SMC73	700	0.95
40	3,883	Nb I	 MCS75	40	0.53
30	3,883	Cr I	 K53	30	0.49
200	3,883	Tm II	 MCS75	200	0.77
14	3,885	Eu I	 MCS75	14	0.38
   80 c	3,885	Pr II	 MCS75	80	0.63
30	3,885	Cr I	 K53	30	0.49
  900 P	3,885	Sm II	 K35	900	0.98
400	3,885	Zr I	 J98	400	0.87
70	3,885	Nb I	 MCS75	70	0.62
  400 P	3,886	Ac I	 MFT57	400	0.87
40	3,886	Nb I	 MCS75	40	0.53
  300 P	3,886	Fe I	 NJLT94	300	0.83
200	3,886	La II	 MCS75	200	0.77
20	3,887	Cr I	 K53	20	0.43
20	3,887	Mo I	 WB88	20	0.43
150	3,887	Th I	 PE83	150	0.73
  500 P	3,887	Tm I	 SMC73	500	0.90
100	3,888	Nd II	 MCS75	100	0.67
30	3,889	Fe I	 NJLT94	30	0.49
   60 P	3,889	He I	 M02	60	0.59
   10 c	3,889	Cs I	 S81	10	0.33
  200 P	3,889	He I	 M02	200	0.77
  300 P	3,889	He I	 M02	300	0.83
  200 P,c	3,889	Ho II	 MZH78	200	0.77
6	3,889	H  I	 RCWM80	6	0.26
   80 c	3,889	Pr II	 MCS75	80	0.63
250	3,890	Nd II	 MCS75	250	0.80
300	3,890	Ce II	 C73	300	0.83
60	3,890	V  I	 DA78	60	0.59
  800 P	3,890	Zr I	 J98	800	0.97
  400 P	3,890	U  II	 PKE80	400	0.87
60	3,890	Ho I	 MCS75	60	0.59
250	3,891	Nd II	 MCS75	250	0.80
250	3,891	Nd II	 MCS75	250	0.80
